title,artist,created,date,creditline,source
Deadpan,Steve McQueen,1997,2004,Gift of Thea Westreich and Ethan Wagner,Documents/info664project/moma.csv
Disappear Here,Sue de Beer,2004,2009,Gift of Ninah and Michael Lynne,Documents/info664project/moma.csv
"Guselnikovo Village, Novosibirsk region, Russia",Andrei Chernov,1984–1990,2018,Committee on Architecture and Design Funds,Documents/info664project/moma.csv
Stag Hunting Bow,"Albin J. Herek, Philip V. Leivo",c.1946,1948,Gift of the manufacturer,Documents/info664project/moma.csv
Plate from GRAPHICS 160,Rachel Kemper,(c. 1955),1955,"Gift of the Art Center, Indiana University",Documents/info664project/moma.csv
"Carrot Chew, performed during Concert No. 1, Fully Guaranteed 12 Fluxus Concerts, Fluxhall, 359 Canal Street, New York, April 11, 1964","Peter Moore, Philip Corner, Benjamin Patterson, Alison Knowles, Barbara Moore",1964,,The Gilbert and Lila Silverman Fluxus Collection Gift,Documents/info664project/moma.csv
Playbill for August Strindberg's Père (Father),Félix Vallotton,1894,1948,Gift of François Lachenal,Documents/info664project/moma.csv
Flowers and Pitcher,Arthur Fauser,1953,1956,Gift of Dr. and Mrs. Kurt E. Hirschfeld,Documents/info664project/moma.csv
Mayo,Ian Stuart,1960,1961,Gertrud  A. Mellon Fund,Documents/info664project/moma.csv
Road to Nowhere,"David Byrne, Stephen R. Johnson",1985,1986,Gift of Warner Bros. Records,Documents/info664project/moma.csv
"Headquarters for the Corporación Venezolana de Guayana (CVG-EDELCA), Ciudad Guayana, Venezuela","Leonardo Finotti, Jesús Tenreiro-Degwitz",2014,2015,Gift of André Correa do Lago,Documents/info664project/moma.csv
Object,Yente (Eugenia Crenovich),1946,2019,Latin American and Caribbean Fund,Documents/info664project/moma.csv
"Big Chief Motel, Highway 80, Arizona",Stephen R. Fitch,n.d.,1973,Purchase,Documents/info664project/moma.csv
Red Scare and Chavez Ravine,Judith Francisca Baca,(1992-93),1994,The Ralph E. Shikes Fund,Documents/info664project/moma.csv
Antenna #50,Martin Kersels,2001,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
Tuner (model FM3) and Preamplifier (model 33),"QUAD Electroacoustics, Huntingdon, England",1967,2014,Gift of Jan Staller,Documents/info664project/moma.csv
Walking Down the Street,"The Nig-Heist, Raymond Pettibon",1982,2014,Acquired from The Eileen and Michael Cohen Collection through the The Sue and Edgar Wachenheim III Endowment,Documents/info664project/moma.csv
Dax Frame,"Bud Esry, Saul Nesbitt",1969,1969,Gift of the manufacturer,Documents/info664project/moma.csv
"protekt, universal protection set",Paul Kirps,2002-03,2006,Gift of Paul Kirps,Documents/info664project/moma.csv
Funeral of the Anarchist Galli,Carlo Carrà,1910-11,1948,Acquired through the Lillie P. Bliss Bequest (by exchange),Documents/info664project/moma.csv
Petersburg Underground,Liisa Roberts,2015,,Acquired through the generosity of Margaret Sundell,Documents/info664project/moma.csv
The Second Staircase (From the Barzini Poems) (folio 6 verso) from Stamped Indelibly,Gerard Malanga,1967,1968,John B. Turner Fund,Documents/info664project/moma.csv
The Volksboutique Style Manual,Christine Hill,-2003,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
Anatol' Petryts'kyi. Teatral'ni stroi,Anatol' Petryts'kyi,1929,2001,Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive),Documents/info664project/moma.csv
Space Oddity,"David Bowie, Mick Rock",1972,2008,Gift of the David Bowie Archive,Documents/info664project/moma.csv
"Egypt, Village",Hazel Kingsbury,1959,1968,The Ben Schultz Memorial Collection. Gift of the artist,Documents/info664project/moma.csv
"Mr. Earle, Mr. Worth, Mr. Clark, Fish Commissioners, Potomac River",William Henry Holmes,1880s?,1989,The Family of Man Fund,Documents/info664project/moma.csv
Lost Book Found,Jem Cohen,1996,1999,"Gift of the Jerome Foundation in honor of its founder, Jerome Hill",Documents/info664project/moma.csv
Scale-Model Sadness (Tristesse Modèle Réduit),Robert Morin,1987,1990,Purchase,Documents/info664project/moma.csv
Mechanical for Piece for Fluxorchestra,"George Maciunas, Albert M. Fine",c. 1966,2008,The Gilbert and Lila Silverman Fluxus Collection Gift,Documents/info664project/moma.csv
"Kraftwerk, The Man-Machine","Karl Klefisch, Günther Fröhling",1978,2012,Gift of Lawrence Benenson,Documents/info664project/moma.csv
"Indoctrination Division, Air Training Command, Lackland Air Base, San Antonio, Texas",Eugene Omar Goldbeck,19-Jul-47,1983,Purchase,Documents/info664project/moma.csv
Untitled,Dziga Vertov,1927–28,2001,"Thomas Walther Collection. Abbott-Levy Collection funds, by exchange",Documents/info664project/moma.csv
The Vegetabull,"Jan Lewitt, George Him",1943,,Gift of the designers,Documents/info664project/moma.csv
Heavy Forms (Pink),Robert Blackburn,1958,2015,Gift of the artist's estate,Documents/info664project/moma.csv
"A Rather Ordinary, Vulgar Thought",W. Koenigstein,1980,1982,Purchase,Documents/info664project/moma.csv
Untitled,Margia Kramer,1974,1975,,Documents/info664project/moma.csv
Plate from TORONTO 20,John Meredith,1965,1967,"Gift of Mrs. Samuel Bronfman, Mrs. John David Eaton, and Mr. Samuel J. Zacks (through the International Council)",Documents/info664project/moma.csv
Composition M-234,Sal Sirugo,1984,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
P an r the people,Tony Lewis,2014,2015,Patricia Orden Memorial Fund for Contemporary Drawing,Documents/info664project/moma.csv
Polish travel poster,Mann,1900-1943,1943,Gift of G. E. Kidder Smith,Documents/info664project/moma.csv
AIGA Detroit,Stefan Sagmeister,1999,2006,Gift of the designer,Documents/info664project/moma.csv
Reclining Figure,Graham Coughtry,1961,1961,Gift of Emilio del Junco,Documents/info664project/moma.csv
Clearly Its Closer to Rising from Exit 99,Bruce Pearson,1999,2000,Jacqueline Brody Fund,Documents/info664project/moma.csv
Pole Light,Paul Cocksedge,2008,2010,Architecture & Design Purchase Fund,Documents/info664project/moma.csv
Apokalyptische Visionen,Fritz Fischer-Nosbisch,1963,1963,"Gift of the Hessischen Landesmuseum, Darmstadt",Documents/info664project/moma.csv
"Program for The Daughter of Artabanus (La Fille d'Artaban), The Nebula (La Nébuleuse) and Unknown Dialogue (Dialogue inconnu) from The Beraldi Album of Theatre Programs",Louis Anquetin,1896,2008,"Johanna and Leslie J. Garfield Fund, Mary Ellen Oldenburg Fund, and Sharon P. Rockefeller Fund",Documents/info664project/moma.csv
Wet Window 1,Bing Wright,1989,1999,"Gift of Peter Norton, Norton Family Foundation",Documents/info664project/moma.csv
Mixed Pseudomorphism of a True/False Cry,Anna Ostoya,2010,2013,Gift of the artist,Documents/info664project/moma.csv
The Eye of Fate,Oscar Bluemner,-1927,1960,Gift of James Graham and Sons,Documents/info664project/moma.csv
Woman Carrying Grasses,Patrick Scott,1958,1958,Elizabeth Bliss Parkinson Fund,Documents/info664project/moma.csv
Gaze,Goro Ike,c. 1950,1959,Gift of Nihon Keizai Shimbun,Documents/info664project/moma.csv
Oval Steel Cheese Knife,Mikael Björnstjerna,1973,2000,Patricia Bonfield Fund,Documents/info664project/moma.csv
"UPSIDEDOWN (plate, folio 4) from PINK JELLY",Kinji Akagawa,1965-1966,1974,,Documents/info664project/moma.csv
Head of a Man,Jonathan Callan,-2001,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
Plate from TORONTO 20,Jack Bush,1965,1967,"Gift of Mrs. Samuel Bronfman, Mrs. John David Eaton, and Mr. Samuel J. Zacks (through the International Council)",Documents/info664project/moma.csv
Bowl,"Colin Schuster, Craig Schuster",1984,1985,Gift of Don Page,Documents/info664project/moma.csv
"Double Your Pleasure, Triple My Pain",Graham Gillmore,2003,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
Untitled,Franciska Clausen,1929,2018,"The Merrill C. Berman Collection. Acquired through the generosity of Alice and Tom Tisch, Jo Carole and Ronald S. Lauder, Sue and Edgar Wachenheim III, David Booth, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, Jack Shear, the Patricia Bonfield Endowed Acquisition Fund for the Design Collection, Daniel and Jane Och, The Orentreich Family Foundation, Emily Rauh Pulitzer, The Modern Women's Fund; and by exchange: Gift of Jean Dubuffet in honor of Mr. and Mrs. Ralph Colin, The Judith Rothschild Foundation Contemporary Drawings Collection, and the Richard S. Zeisler Bequest",Documents/info664project/moma.csv
The Handy Man,Sari Dienes,1956,,Gift of the Sari Dienes Foundation,Documents/info664project/moma.csv
Parkett no. 98,"Various Artists, Ed Atkins, Theaster Gates, Lee Kit, Mika Rottenberg",2016,2017,Gift of Parkett,Documents/info664project/moma.csv
The Stevedores: PL. XXXIII (Now There's a Dandy Who Amused Himself at the Ball Like Lead in Champa,Paul Gavarni,1841,1940,Gift of Abby Aldrich Rockefeller,Documents/info664project/moma.csv
Estudio de Paris,Miguel Conde,1964,1968,Purchase,Documents/info664project/moma.csv
Untitled from Games (Hry),Sonia Švecová,c. 1966–67,2008,The Gilbert and Lila Silverman Fluxus Collection Gift,Documents/info664project/moma.csv
Despair I,Gabor Peterdi,1938,1944,Purchase,Documents/info664project/moma.csv
"Lanes Island, Earth Eggs",Jean Locey,1986-87,1988,The Family of Man Fund,Documents/info664project/moma.csv
The Archives: Art Information Centre Peter Van Beveren,"Carl Andre, Joseph Beuys, Marinus Boezem, Christian Boltanski, Daniel Buren, Miguel-Ángel Cárdenas, Robin Crozier, Hans Eijkelboom, Pieter Engels, Ken Friedman, Ad Gerritsen, Wim Gijzen, Klaas Gubbels, Richard Hamilton, Dick Higgins, Robert Jacks, Tommy Mew, Mauricio Nannucci, Richard Nonas, Arnulf Rainer, Dieter Roth, Yves De Smet, Al Souza, Endre Tót, Timm Ulrichs, Woody van Amen, Geurt van Dijk, Ben Vautier, Wolf Vostell, Various Artists","1971–81, published 1981",1981,John R. Jakobson Foundation Fund,Documents/info664project/moma.csv
Untitled for the Museum in Progress project Symposia: Art and Global Media,Edward Herman,"(newspaper published September 25, 1998)",2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
The Grey Dog,Albert York,c. 1967,2006,Gift of Werner H. Kramarsky,Documents/info664project/moma.csv
"""d"" is for death",Glen Baldridge,2006,2007,John B. Turner Fund,Documents/info664project/moma.csv
Real Taste Hidden Within Brown Surface of Quality Bread,Shigeo Okamoto,c.1977,1978,"Gift of the designer through The U.S. Art Directors Club, Inc., New York",Documents/info664project/moma.csv
Wild Billy Childish & The Musicians of the British Empire,"Billy Childish, Peter Doig",2010,2013,Committee on Prints and Illustrated Books Fund,Documents/info664project/moma.csv
Bayard: XXV Calotypes,Hippolyte Bayard,1842-50,1965,Purchase,Documents/info664project/moma.csv
Electrical Plug,W. T. Gossard,c. 1948,1950,Gift of the manufacturer,Documents/info664project/moma.csv
Gate Hyderabad,Ram Rahman,1983,2018,Acquired through the generosity of Ruth Nordenbrook,Documents/info664project/moma.csv
Disposable Cautery Unit (model 236),David Staub,Unknown,1969,Gift of the manufacturer,Documents/info664project/moma.csv
WAR,Albert E. Yersin,-1945,1947,Gift of the artist,Documents/info664project/moma.csv
"A Dutch House, Holten, The Netherlands","Rem Koolhaas, Gro Bonesmo, Jeroen Thomas",1993,1996,Given anonymously,Documents/info664project/moma.csv
Machine,Monika Baer,2004,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
Untitled (Beetles),Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),1920,1937,Purchase,Documents/info664project/moma.csv
Robert Le Ver Seeks Entrance to the Great Lady's Nation,Tony Jannetti,1982,1983,Gift of Mr. and Mrs. Joel Bross,Documents/info664project/moma.csv
"Floating Compression Column,",Kenneth Snelson,1959,1965,Gift of the architect,Documents/info664project/moma.csv
Band-Aid Advanced Healing Blister,Coloplast A/S,2001,2005,Gift of the manufacturer,Documents/info664project/moma.csv
In Love,Patty Chang,2001,2011,Gift of Gwen and Peter Norton,Documents/info664project/moma.csv
May Night,Horst-Egon Kalinowski,1961,1961,Philip C. Johnson Fund,Documents/info664project/moma.csv
Part 4,Hakudo Kobayashi,1978,1979,Gift of the artist,Documents/info664project/moma.csv
Top Brass textile,Zandra Rhodes,1964,2017,Committee on Architecture and Design Funds,Documents/info664project/moma.csv
Over My Head,Toni Basil,1984,1986,Gift of Chrysalis Records,Documents/info664project/moma.csv
Schweiz - Braunwald,Heinrich Steiuer,1900-1937,1937,"Purchase Fund, Jan Tschichold Collection",Documents/info664project/moma.csv
Suprematist Composition,Ivan Kudriashov,1919,1985,The Riklis Collection of McCrory Corporation,Documents/info664project/moma.csv
"Summer Snow Near Agnew Pass, California",Cedric Wright,1938,,Gift of Albert M. Bender,Documents/info664project/moma.csv
Carousel-S Slide Projector,"Hans Gugelot, Reinhold Häcker",1963,1969,"Gift of Kodak A.G., Germany",Documents/info664project/moma.csv
Untitled,Alexander Hammid,1930s,2001,"Thomas Walther Collection. Gift of Mrs. Raymond C. Collins, by exchange",Documents/info664project/moma.csv
Orpheus,Varujan Boghosian,1951,1952,Purchase,Documents/info664project/moma.csv
BULL,Javier Vilato,-1948,1948,Gift of Victor S. Riesenfeld,Documents/info664project/moma.csv
James Bond Meets Pussy Galore from New York Ten,Nicholas Krushenick,"1964, published 1965",1965,Law Foundation Fund,Documents/info664project/moma.csv
The Sound is WOR-FM 98.7,Milton Glaser,1966,1966,Gift of Station WOR-FM,Documents/info664project/moma.csv
Six Hands,Rainer Wittenborn,May-67,1969,John R. Jakobson Fund,Documents/info664project/moma.csv
Bowls,"Luigi Caccia Dominioni, Pier Giacomo Castiglioni",1950,1958,Phyllis B. Lambert Fund,Documents/info664project/moma.csv
Van Gogh,Carlos Alonso,1966,1967,Inter-American Fund,Documents/info664project/moma.csv
Figure Study No. 3,Gwen Knight,-1975,1978,Gift of Alice C. Simkins,Documents/info664project/moma.csv
Bitte Bitte Kathreiner,Kuron - Gogol,1900-1937,1937,"Purchase Fund, Jan Tschichold Collection",Documents/info664project/moma.csv
"Arriba España, Los Nacionales",Juan Antonio Morales,1936,1937,Purchase,Documents/info664project/moma.csv
Untitled,Luca Crippa,1960,1963,Gift of John S. Newberry,Documents/info664project/moma.csv
Southern Charm,Elliott Erwitt,1956,1962,Gift of Magnum and the photographer,Documents/info664project/moma.csv
Plate 4 from SPIRALENS KUNSTMAPPE (SPIRALENS ART PORTFOLIO),Johs Jensen,"(1952, date of publication)",1954,Larry Aldrich Fund,Documents/info664project/moma.csv
Untitled,"Moriceau + Mrzyk, Jean-Francois Moriceau, Petra Mrzyk",(2002-03),2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
The Tempest,John Byam Shaw,c. 1900,1978,Gift in honor of Myron Orlofsky,Documents/info664project/moma.csv
Box for Fluxus 1,"George Maciunas, Ben Vautier",1964-65,,The Gilbert and Lila Silverman Fluxus Collection Gift,Documents/info664project/moma.csv
Study for Sculpture,Eduardo Paolozzi,1950,1953,Mrs. Wendell T. Bush Fund,Documents/info664project/moma.csv
Terminal City,Roy Arden,1999,2004,The Family of Man Fund,Documents/info664project/moma.csv
Plate (page 37) from 1¢ Life,Kimber Smith,1964,1964,"Gift of the author, Walasse Ting, the editor, Sam Francis, and the publisher, E. W. Kornfeld",Documents/info664project/moma.csv
Untitled,Jun Shiraoka,1972,1979,Acquired through the generosity of Paul F. Walter,Documents/info664project/moma.csv
Untitled,Laura Owens,2000,2001,Purchased with funds provided by the Friends of Contemporary Drawing,Documents/info664project/moma.csv
Articulated Mobile Sculpture,Gyula Kosice (Fernando Fallik),1948,2004,Gift of Patricia Phelps de Cisneros in honor of Jay Levenson,Documents/info664project/moma.csv
Ciao,Valentin Carron,2011,2012,General Print Fund,Documents/info664project/moma.csv
Sympathie,Eberhard Havekost,1999,2000,Robert and Anna Marie Shapiro Fund,Documents/info664project/moma.csv
Untitled for the Museum in Progress project Art and Global Media,"Dee Dee Halleck, David Thorne","(newspaper published: December 16, 1998)",2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
Untitled,Lou Stoumen,1940,,"Acquired with matching funds from David H. McAlpin, the Frank Strick Foundation and the National Endowment for the Arts",Documents/info664project/moma.csv
Metal Frame (Corner),Reiner Ruthenbeck,1967-68,1979,Gift of The Cosmopolitan Arts Foundation,Documents/info664project/moma.csv
New Life After Fire (for Tom Thomson),"Lee Ranaldo, Dave Dyment",2003,2013,Committee on Prints and Illustrated Books Fund,Documents/info664project/moma.csv
Anybody's Self-Portrait,George Cohen,1953,1961,Larry Aldrich Foundation Fund,Documents/info664project/moma.csv
"Die Aktion, vol. 8, no. 49/50",Bruno Beye,14-Dec-18,2010,Committee on Prints and Illustrated Books Fund and The Library Council,Documents/info664project/moma.csv
Family Tree,Hermann Pitz,1990,1991,Purchase,Documents/info664project/moma.csv
Test Podura Scale Showing Exclamation Marks,Joseph Janvier Woodward,1871,1988,The Family of Man Fund,Documents/info664project/moma.csv
My Birth,Carmen Winant,2018,2018,The Modern Women's Fund,Documents/info664project/moma.csv
Art & Project Bulletin #150,Leo Vroegindeweij,1988,2007,Art & Project/Depot VBVR Gift,Documents/info664project/moma.csv
"Salon des Cent, 38eme Exposition d'Ensemble",Arsène Herbinier,1899,1956,Gift of Ludwig Charell,Documents/info664project/moma.csv
Teatral'nye novatsii,Viacheslav Pakulin,1922,2001,Gift of The Judith Rothschild Foundation,Documents/info664project/moma.csv
North Foreland Lighthouse - Everywhere You Go You Can Be Sure of Shell,E. Hawthorne,1900-1937,1937,Gift of Shell - Mex B P,Documents/info664project/moma.csv
Computer Tape Package Series 500,"John Stram, Jack Stringer, Carl Norby",1968,1969,Gift of the manufacturer,Documents/info664project/moma.csv
Marie Bathing with a Sponge (Marie au tub s'épongeant),Suzanne Valadon,"1908, published 1932",1949,Abby Aldrich Rockefeller Fund,Documents/info664project/moma.csv
"Thesion, Athens",G. E. Kidder Smith,1938,1982,Gift of the artist,Documents/info664project/moma.csv
"Album cover for Talking Heads, Stop Making Sense","David Byrne, Michael Hodgson, Jeff Ayeroff, Adelle Lutz, Sire Records",1984,2014,Committee on Architecture and Design Funds,Documents/info664project/moma.csv
Untitled,Bjarne Melgaard,-2002,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
Calendar sheet for the Worker's University of Mexico (Universidad Obrera de Mexico),"Raúl Anguiano, Alfredo Zalce",1938,1942,Inter-American Fund,Documents/info664project/moma.csv
Tears from 7 Objects/69,David Bradshaw,1969,2014,Acquired from The Eileen and Michael Cohen Collection through the Deborah Wye Endowment Fund,Documents/info664project/moma.csv
Temple of Athena Nike,James Robertson,c. 1854,1982,Acquired through the generosity of Shirley C. Burden,Documents/info664project/moma.csv
"""Sonata"" Development, San Pasqual, San Diego County, California",Gene Kennedy,1982,1983,The Family of Man Fund,Documents/info664project/moma.csv
THE RAPE OF LUCRETIA,Stanley William Hayter,-1934,1941,Purchase,Documents/info664project/moma.csv
Tapestry For Frances Lynn,Susan Weitzman,1967,1968,Lily Auchincloss Fund,Documents/info664project/moma.csv
Welkut Poultry Shears,"J.A. Henckels, Solingen, Germany",1909-1943,1943,"Gift of Fifth Avenue Cutlery Shop, Inc.",Documents/info664project/moma.csv
"No. 37-38, Août 1982 (for Parkett no. 50/51)",Jean-Luc Mylayne,1997,1998,"Riva Castleman Endowment Fund, Lily Auchincloss Fund, and Gift of Parkett",Documents/info664project/moma.csv
"Dutch Parliament Extension project, The Hague, Netherlands (Cutaway axonometric)","Rem Koolhaas, Elia Zenghelis, Zaha Hadid",1978,2017,Committee on Architecture and Design Funds,Documents/info664project/moma.csv
Line Construction,Aleksandr Rodchenko,1921,,Gift of the artist,Documents/info664project/moma.csv
Convent II,Paul Rotterdam,1979,1979,Acquired with matching funds from Mr. and Mrs. Frank Y. Larkin and the National Endowment for the Arts,Documents/info664project/moma.csv
"I Love My Time, I Don’t Like My Time","Bidner / Martinek, Erwin Wurm",2007,2013,Committee on Prints and Illustrated Books Fund,Documents/info664project/moma.csv
The Interpreter Project,Sharon Hayes,2001,2012,Acquired through the generosity of Agnes Gund,Documents/info664project/moma.csv
Tar Beach Woodcut,Faith Ringgold,1993,1993,John B. Turner Fund,Documents/info664project/moma.csv
Kuniyoshi Art Exhibition,Mizu,1954,2015,Anonymous gift,Documents/info664project/moma.csv
In-text plate (folio 24) from 21 Etchings and Poems,"Adja Yunkers, Theodore Roethke",1960,1963,Gift of Mrs. Jacquelynn Shlaes,Documents/info664project/moma.csv
Antwerp-Brussels (People and Time),"David Lamelas, Maria Gilssen",1969,2011,"Partial gift of the Daled Collection and partial purchase through the generosity of Maja Oeri and Hans Bodenmann, Sue and Edgar Wachenheim III, Agnes Gund, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, and Jerry I. Speyer and Katherine G. Farley",Documents/info664project/moma.csv
Five Piano Pieces for David Tudor: extraits de pièces de chair II,Sylvano Bussotti,1959,2008,The Gilbert and Lila Silverman Fluxus Collection Gift,Documents/info664project/moma.csv
"Exposition Charles Lacoste, Salon des Cent",Charles Lacoste,1898,1956,Gift of Ludwig Charell,Documents/info664project/moma.csv
Poppitz at the Moda from the Fashion Moda Benefit Portfolio,James Poppitz,1985,1986,Purchase,Documents/info664project/moma.csv
NIHILISTS,José Manuel Schmill,1961,1967,Inter-American Fund,Documents/info664project/moma.csv
Parrot Tulips,Martin Baer,1939,1941,Gift of Mrs. Simon Guggenheim,Documents/info664project/moma.csv
In-text plate (folio 6) from Poésie de mots inconnus,"Jean (Hans) Arp, Camille Bryen",1949,1964,The Louis E. Stern Collection,Documents/info664project/moma.csv
"Parisian (Parisienne) from L'Estampe moderne, no. 20",P. C. Helleu,1898,1958,Mr. and Mrs. E. Powis Jones Fund,Documents/info664project/moma.csv
They Were Expelled,René Bertholo,1961,1963,Gift of John S. Newberry,Documents/info664project/moma.csv
9 Scripts from a Nation at War,"Andrea Geyer, Sharon Hayes, Ashley Hunt, Katya Sander, David Thorne",2007,2011,Committee on Media and Performance Art Funds,Documents/info664project/moma.csv
The Cologne Manifesto,"Martin Kippenberger, Albert Oehlen",1985,2015,Gift of Lawrence Luhring,Documents/info664project/moma.csv
POND,Yoo Kang Yl,1959,1965,Blanchette Rockefeller Fund,Documents/info664project/moma.csv
"U.S. poster. Golden Gate International Exhibition, San Francisco",Siegriest,1939,1943,Given anonymously,Documents/info664project/moma.csv
"ABN-AMRO Bank Project, Amsterdam, The Netherlands, Elevation of Nederlander Boogie Woogie",Harry C. Wolf,1996,1996,Gift of the architect in honor of Philip Johnson,Documents/info664project/moma.csv
"Ice, Echo Pass",Merg Ross,1953,1968,Gift of David H. McAlpin,Documents/info664project/moma.csv
Untitled (Cubism and Abstract Art),Steve Wolfe,1997,1997,Given anonymously,Documents/info664project/moma.csv
Mounting a Bronc,Erwin Smith,c. 1910,1992,The Family of Man Fund,Documents/info664project/moma.csv
Appoggio Chair,Claudio Salocchi,1971,2006,Rob Beyer Purchase Fund,Documents/info664project/moma.csv
Historisch-Geographischer Schul-Atlas from the series Ex Libris,Candida Höfer,2009 (originally published 1860),2011,Acquired through the generosity of an anonymous donor in honor of Glenn D. Lowry,Documents/info664project/moma.csv
White Landscape,John Hultberg,1956,1959,Gift of Mr. and Mrs. Peter A. Rübel,Documents/info664project/moma.csv
Fruit Knife,"Friedrich Herder A.G., Solingen, Germany",c. 1950,1956,Gift of Philip Johnson,Documents/info664project/moma.csv
Verdure,Stefan Knapp,1950,1957,Gift of Harold Kovner,Documents/info664project/moma.csv
"Blue in Trajectory (Azul en trayectoria) from 21 Printmakers from Colombia, Mexico and Venezuela (21 Estampadores de Colombia, Mexico y Venezuela)",Roberto Donis,1972,1973,"Gift of Cartón y Papel de México, S.A",Documents/info664project/moma.csv
"Girls' Games in Laghouat (Jeux de fillettes a Laghouat) from L'Estampe Moderne, Number 13",E. Dinet,published May 1898,1958,Mr. and Mrs. E. Powis Jones Fund,Documents/info664project/moma.csv
Program for an untitled play from The Beraldi Album of Theatre Programs,Joseph Sattler,1895-96,2008,"Johanna and Leslie J. Garfield Fund, Mary Ellen Oldenburg Fund, and Sharon P. Rockefeller Fund",Documents/info664project/moma.csv
Glimpse (Augenblick) (for Parkett no. 43),Juan Muñoz,1995,1998,"Riva Castleman Endowment Fund, Lily Auchincloss Fund, and Gift of Parkett",Documents/info664project/moma.csv
Ana Mendieta - Dead Artist,Benjamin Cottam,-2002,2005,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,Documents/info664project/moma.csv
Plate (page 7) from Chetyre Fonesticheskikh Romana (Four Phonetic Novels),Maria Siniakova,1927,1977,Abby Aldrich Rockefeller Fund,Documents/info664project/moma.csv
"Plate 7 from L'AVANGUARDIA INTERNAZIONALE, Volume 1/L'AVANT-GARDE INTERNATIONALE, Volume 1/THE INTERNATIONAL AVANT-GARDE, Volume 1",Roberto Crippa,1962.  (Print executed 1961).,1964,Gift of Peter H. Deitsch,Documents/info664project/moma.csv
1994 from the Museum in Progress project Return,"Franz Graf, Elisabeth Plank",16-Nov-94,2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
A Head for Ixtab,Rodolfo Abularach,1958,1959,Inter-American Fund,Documents/info664project/moma.csv
Assaver,"Hans Weigand, Raymond Pettibon, Jason Rhoades, Various Artists",1999,2000,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
Raff Linen,Viola Gråsten,c. 1950,,Gift of the manufacturer,Documents/info664project/moma.csv
Meander No. 5,Julije Knifer,1960,2013,Gift of Mr. and Mrs. Walter Hochschild and The Gilman Foundation Fund (both by exchange),Documents/info664project/moma.csv
Composition,John Ferren,1937,1941,Gift of the Advisory Committee (by exchange),Documents/info664project/moma.csv
The Condemned,Henri Pribik,1970,1977,Purchase,Documents/info664project/moma.csv
32 Morceaux d'eau,Jorge Macchi,-1994,2007,Purchased with funds provided by The Edward John Noble Foundation,Documents/info664project/moma.csv
The Arc de Triomphe (L'Arc de Triomphe),Pierre Bonnard,1899,1933,Gift of Mrs. Saidie A. May,Documents/info664project/moma.csv
Untitled from the Museum in Progress project Signs of Trouble,Anne Burdick,"(newspaper published November 23, 1998; pg 26)",2006,Linda Barth Goldstein Fund,Documents/info664project/moma.csv
Composition,Willi Baumeister,1947,1947,Gift of the artist,Documents/info664project/moma.csv
Shavings,Sara Greenberger Rafferty,2007,2010,Fund for the Twenty-First Century,Documents/info664project/moma.csv
"Boughs for the Alter, Cheyenne",Edward Curtis,1911,1972,Purchase,Documents/info664project/moma.csv
1918,"Various Artists, Vasilii Kamenskii, Aleksei Kruchenykh, Kirill Zdanevich",1917,2001,Gift of The Judith Rothschild Foundation,Documents/info664project/moma.csv
Wall Coat Rack,"Jonathan De Pas, Donato D'Urbino, Paolo Lomazzi",1974,1977,Gift of Architectural Supplements Inc.,Documents/info664project/moma.csv
Stereo Electronic Music No. 1 for Five Channels (Excerpt) from Notes on Sound,"Romas Viesulas, Bülent Arel",1965,1966,Purchase,Documents/info664project/moma.csv
Untitled from American Abstract Artists 60th Anniversary Print Portfolio,Katinka Mann,1997,1998,Gift of John Goodyear,Documents/info664project/moma.csv
"Colonnade in the Pearl Mosque, Agra",John Murray,c. 1856,1990,Horace W. Goldsmith Fund through Robert B. Menschel,Documents/info664project/moma.csv
"Fascism, 3rd Lecture: German Fascism (El fascismo, 3a conferencia: El Fascismo Aleman)","Luis Arenal, Raúl Anguiano",1939,1942,Inter-American Fund,Documents/info664project/moma.csv
Kabarett Fledermaus (Cabaret Fledermaus),"Various Artists, Fritz Zeymer, Berthold Löffler, Oskar Kokoschka, Carl Otto Czeschka",1907,1993,Purchased with funds given by Mrs. Henry I. Cobb and Mrs. Melville Wakeman Hall,Documents/info664project/moma.csv
