Vito," ""Acconci"""," """""," """""," """""," """""," ""Courtyard Design"""," ""1995"""," ""Stamped concrete", steel seating," plantings"""," ""Landscape Design"""," ""na"""," ""Accessible"""," ""Accessible"""," ""Perkins & Will"""," ""Department of Education"""," ""School Construction Authority"""," ""Public School 3"""," ""School"""," ""2100 La Fontaine Avenue"""," ""40.8499755710363"""," ""-73.8922465592622"""," ""Bronx"""," ""NY"""," ""10457-3333"""," ""Belmont"""," ""Bronx"""," ""6"""," ""4 (Burnside Avenue)"""," ""Vito Acconci redesigned the courtyard of P.S. 3 to reflect the architectural elements of the school building. Benches and planters represent the windows and designs in the pavement represent other elements of the school's facade. The result is an enhanced architectural environment wherein", as the artist describes," \""the walls that enclose the children inside become the ground that children walk over and play on"," outside.\"""""," ""Vito Acconci was born in the Bronx and began his career as a poet. In his first work in a visual art context in the late 1960's and early 1970's", the artist used his own body as a subject for photography, film, video, and performance. In the mid 70's, Acconci created audiovisual installations that turned exhibition spaces into community meeting places, and in the 80's he invited viewers to create artwork by activating machinery that erected shelters and signs. He also turned to the creation of furniture and to prototypes of houses and gardens in the late 80's. Most recently, the artist has focused on architecture and landscape design that integrates public and private space. As a group, the Acconci studio designs and builds public projects in parks, city streets," and city buildings."""," """""," ""vacconci.jpg"""," ""vacconci-a.jpg"""," """""," """""," """""," """""," ""0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David," ""Saunders"""," """""," """""," """""," """""," ""Firehat"""," ""1994"""," ""Aluminum on wall"""," ""Architectural Integration"""," ""120\"" x 148\"" x 12\"""""," ""Accessible"""," ""Accessible"""," ""Stephen Kagel & Associates"""," ""Fire Department"""," ""Department of General Services"""," ""Firehouse Engine Co 41"""," ""Fire Station"""," ""720 Melrose Avenue"""," ""40.8204256743192"""," ""-73.9157916605472"""," ""Bronx"""," ""NY"""," ""10455-1132"""," ""Mott HavenSouth Bronx"""," ""Bronx"""," ""1"""," ""5 (3 Avenue - 149 Street)"""," ""Firehat is an aluminum relief on the southwest corner of the Engine Company 41 firehouse in the Bronx. David Saunders created Firehat as an homage to the important role of the Fire Department in the community and to the heroism of the individual fire fighter. The artist makes us aware of the rich details of the traditional leather fire helmet used by the FDNY by including the crest and shield", showing the visor in the at-ease position and tilting the brim forward to reveal the embossed leaf pattern. To individualize this universal symbol of fire protection, Saunders has customized the hat by fixing a flashlight to the brim with a broad strap. While these touches make Firehat more than a generic symbol, they do not impair the design's other roles -- to identify the purpose of the building and symbolize the protection that the FDNY provides the community. The finished relief, measuring eleven feet high and thirteen feet wide," is fabricated of 1 12 inch aluminum and painted to match the brick wall of the building. It creates a bold linear design in the sunlight."""," ""Born in New York City", David Saunders lives in Queens and works in Manhattan. A painter as well as a sculptor, he has exhibited throughout the United States. His public sculpture, Seat (1987), was commissioned by the Public Art Fund," Inc. for Westchester Square in the Bronx."""," ""One of the most profound things about public art is the way it can draw upon a familiar context of communal life and accentuate the moment of experience. A public environment is the only setting in which art has this challenge. In museums and other settings we expect art instead to transcend our experience of reality by evoking an objective memory. I create public art that enhances the experience we are feeling", living and breathing, and in which we have personal faith. Firehat is an homage to the important role of the individual firefighter. -- Saunders," 1987"""," ""dsaunders.jpg"""," """""," """""," """""," """""," """""," ""211""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra," ""Sax"""," """""," """""," """""," """""," ""Turtle Migration"""," ""2008"""," ""Bronze and mosaic"""," ""Mural"""," ""Variable"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Gruzen Samton Architects"""," ""Department of Education"""," ""School Construction Authority"""," ""Public School 245"""," ""School"""," ""3-84 Seneca Avenue"""," ""40.7070989906787"""," ""-73.9149735867977"""," ""Ridgewood"""," ""NY"""," ""11385-1341"""," ""Ridgewood"""," ""Queens"""," ""5"""," ""L (Dekalb Avenue)"""," ""Throughout the world", turtles have long symbolized strength, persistence, and longevity. We encounter turtles early in life in children's literature, folklore, and experiences in the natural world. But perhaps our deepest affection for turtles stems from the seeming ordinariness expressed by their plodding gait through the world. It is this very slowness that conjures traits to which we all aspire: dependability, consistency, and perseverance.In Turtle Migration, bronze cast turtles emerge from a colorful mosaic of water lilies, crawling up the lobby walls to uncharted heights and beyond. The turtles range from the unprotected, dependent newborn without a shell or pattern to the fully armored," splendidly clad adult. The same shells that protect the turtles from the perils of the world also bare upon them each turtle's mark of individuality. The turtles' journey from the safety of the water lilies outward and upward to the unknown is a metaphor for young students' paths from the dependence of early childhood to growing maturity."""," ""Alex Sax has been creating animal paintings", drawings, and sculptures for over ten years. Her most recent work focuses on historical fiction installations related to specific people and places, including The Cobweb Club installation at the Portland Museum of Art. She received a BA from Hamilton College and an MFA from the Pennsylvania Academy of the Fine Arts. Alex Sax has been awarded residencies at the MacDowell Colony, Virginia Center for the Creative Arts," and Weir Farm."""," ""After visiting several Early Childhood Centers", I realized that I wanted to make a piece that would surround the students and draw attention to their school's architecture. I found inspiration for the piece in the lines from Song of the Open Road by Walt Whitman:Afoot and light-hearted take to the open road,Healthy, free the world before me,"The long brown path before me leading wherever I choose."""," ""asax.jpg"""," ""asax-a.jpg"""," ""asax-b.jpg"""," ""asax-c.jpg"""," ""asax-d.jpg"""," ""asax-e.jpg"""," ""212""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paula," ""Scher"""," """""," """""," """""," """""," ""Queens and Metropolitan Avenue"""," ""2010"""," ""Paint"""," ""Mural"""," ""na"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Urbahn Architects"""," ""Board of Education"""," ""School Construction Authority"""," ""Metropolitan Avenue Campus"""," ""School"""," ""91-30 Metropolitan Avenue"""," ""40.7115859985351"""," ""-73.858169555664"""," ""Forest Hills"""," ""NY"""," ""11375-6671"""," ""Forest Park"""," ""Queens"""," ""6"""," ""LIRR (Forest Hills)"""," ""2000 Chrysler Award for Innovation in Design; 2001 AIGA Medal These works marry my love of painting maps with my love of environmental design.  When the viewer enters the atrium", they have entered the painting. They are enveloped by it.  The space is altered by it.  For that moment in time, all perspectives are skewed.  The viewer gets to inhabit Queens in a manner at once totally familiar," and bizarre.  The viewer can recognize places and roads and even locate themselves within the map.  They are \""there\""", and then, again," they are not."""," ""Paula Scher began her graphic design career as a record cover art director at both Atlantic and CBS Records in the 1970s", and in 1991 joined Pentagram as a partner. She has developed identity and branding systems, promotional materials, environmental graphics, packaging and publication designs for a wide range of clients, drawing from what Tom Wolfe has called the �big closet� of art and design history- classic and pop iconography, literature, music and film, to create images that speak to contemporary audiences with emotional impact and appeal.Paula is a recipient of the Chrysler Award for Innovation in Design and the AIGA Medal.  She holds honorary doctorates from the Corcoran College of Art and Design and the Maryland Institute College of Art, and is a member of the Alliance Graphique Internationale and the Art Directors Club Hall of Fame.  Her work has been exhibited worldwide, and is in the permanent collections of the Museum of Modern Art, the Cooper-Hewitt National Design Museum, the Centre Georges Pompidou, as well as many other institutions. Her teaching career includes over two decades at the School of Visual Arts, along with positions at the Cooper Union, Yale University, and Tyler School of Art. In 2002," Princeton Architectural Press published her career monograph Make It Bigger. """," """""," ""pscher.jpg"""," ""pscher-a.jpg"""," ""pscher-b.jpg"""," ""pscher-c.jpg"""," ""pscher-d.jpg"""," """""," ""213""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffrey," ""Schiff"""," """""," """""," """""," """""," ""L'Encyclopedie: Miriotier"""," ""2007"""," ""Digital prints"""," ""Photography"""," ""20 prints"," 20\"" x 16\"" each"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Perkins Eastman Architects"""," ""Office of Chief Medical Examiner"""," ""Dormitory Authority of the State of New York"""," ""Office of the Chief Medical Examiner"""," ""Municipal Building"""," ""421 East 26th St"""," ""40.738654"""," ""-73.976738"""," ""New York"""," ""NY"""," ""10016-9161"""," ""Kips Bay"""," ""Manhattan"""," ""6"""," ""6 (23rd Street)"""," ""These digital prints are part of an installation project based on Diderot's Encyclopedia engravings of the instruments used in the trade of mirror-making in 18th century France. The engravings are digitally scanned"," and then each object in the engraving is isolated as a vignette by layering a nearly opaque cover over the rest of the imagery - as if a spotlight were illuminating an object on a stage while all else remains in shadow."""," ""Jeffrey Schiff is a sculptor and installation artist living in Brooklyn", NY.  He is the recipient of numerous fellowships, including the Rome Prize from the American Academy in Rome, the Fulbright Senior Scholar Fellowship to India, and the John Simon Guggenheim Fellowship.  He has exhibited widely," and has permanent public sculptures in Boston South Station Railroad Terminal and at the New Britain Superior Courthouse in CT."""," ""\""I am interested in how this central document of the Enlightenment", Diderot's Encyclopedia, carries covert vestiges of irrationality, paralleling our own ambivalence regarding scientific versus anecdotal, intuitive," or spiritual versions of knowledge.\"""""," ""jschiff.jpg"""," """""," """""," """""," """""," """""," ""214""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben," ""Schonzeit"""," """""," """""," """""," """""," ""Common Ground"""," ""1996"""," ""Oil on canvas"""," ""Painting"""," ""13'8\"" x 9'1\"""""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Rice Partnership"""," ""Board of Education"""," ""School Construction Authority"""," ""Public School 205"""," ""School"""," ""6701 20th Avenue"""," ""40.6146965026855"""," ""-73.9867401123047"""," ""Brooklyn"""," ""NY"""," ""11204-4502"""," ""Bensonhurst"""," ""Brooklyn"""," ""11"""," ""N (20th Avenue)"""," ""Ben Schonzeit's mural consists of two paintings that fit in panels on adjoining walls of a stairway to the second-floor lobby. These paintings fit in preexisting frames on the walls. The background is a loosely rendered topographical map of the world that blends into a map of the sky in the northern hemisphere. Over this are familiar images relating to the neighborhood", Brooklyn, and games, and activities. These images included the game Monopoly, a checker board game, dominoes, Chinese Checkers," and a soccer ball floating in front of the earth seen from space. There are two references to this particular neighborhood -- a \""carreta\"" and a Sicilian marionette made by a famous puppeteer who lived and worked in this part of Brooklyn. Other images include a penguin from the aquarium at Coney Island", a tugboat," and a view of Brooklyn from Staten Island."""," ""Ben Schonzeit was born and raised in Brooklyn not far from P.S. 205", in a neighborhood that was very similar, though predominately Jewish. As a child, he painted murals across the windows of his public school, then murals in Midwood High School, as well as stage sets, and enormous decorations for dances and other school functions. His professional career began in 1969, exhibiting in New York and Europe as part of a group of artists called Photo-Realists. His work is included in museums throughout the world including the Metropolitan Museum of Art in New York, the Brooklyn Museum," and the Guggenheim Museum among others."""," ""I wanted to make a piece that was primarily aimed at the children who would see it every day. I felt that the images in this painting should relate both to play and the learning process. When I first came out to the school I was very impressed by the strong community and a wonderfully diverse population. To include references to the Italian-American history was important if I was to reflect the dominant ethnic group there and also to the increasingly international character of the neighborhood. My goal was to create a substantial work of art that would give the children direct and daily contact with art that was accessible to them both in style and content.This project provides a unique opportunity for a dialogue between artists and the lives of the people in the community that might otherwise not occur. When serious artists do such work", I believe that it is like having a professional symphony orchestra playing for them everyday. This work is meant to open the minds of children to their own potential. Hopefully, there will also be community pride and identification with the work. -- Schonzeit," 1997"""," ""bschonzeit.jpg"""," """""," """""," """""," """""," """""," ""215""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicky," ""Scuri"""," """""," """""," """""," """""," ""Butterfly Garden"""," ""1996"""," ""Steel", Lexan polycarbonate resin, cedar planters, steel trellises," landscaping materials"""," ""Landscape Design"""," ""na"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""School Construction Authority"""," ""Board of Education"""," ""School Construction Authority"""," ""Public School 188"""," ""School"""," ""760 Grote Street"""," ""40.8506581932306"""," ""-73.8840322941541"""," ""Bronx"""," ""NY"""," ""10460"""," ""Belmont"""," ""Bronx"""," ""6"""," ""5 (West Farms Sq. E. Tremont Avenue)"""," ""Vicki Scuri's Butterfly Garden has transformed the asphalt playground at P.S. 188 (known as P.S. 34 when the piece was commissioned). The garden's central feature is a gazebo"," which is framed by colorful steel and Lexan butterfly wings. The gazebo leads the schoolchildren to a procession of raised cedar planters and winged butterfly trellises. The garden also features a variety of more than three thousand bulbs and plants that tend to attract butterflies."""," ""Vicki Scuri", an artist and environmental designer, resides in Seattle, WA. Her work manifests itself in freeway bridges, parking garages, plazas, school playgrounds, redevelopment projects, and other public works. Her noted project, The Dreamy Draw Pedestrian Bridge in Phoenix, AZ won a Hollander award and an NEA Design for Transportation Merit Award in 1995. Her works, often perceptual and metaphoric," vary from intimate small scale environments to monumental infrastructure."""," ""In the spring of 1993", I was commissioned to create a public artwork for special populations at P.S. 34, in the Bronx, which is located near the NYC Zoo and Botanical Gardens. P.S. 34 is populated by children and adults who are physically and mentally challenged. The age ranges from 5 to 15 years of age. The special considerations of these people inspired me to research special education environments. Through library research, site visits to related types of facilities, and interviews with special education teachers, principals, and consultants, my research revealed that gardens provide one of the most beneficial environments for these people. With this in mind, I then began to design the Butterfly Garden . -- Scuri," 1996"""," ""vscuri.jpg"""," """""," """""," """""," """""," """""," ""216""",,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles," ""Searles"""," """""," """""," """""," """""," ""Cultural Harmony"""," ""1990"""," ""Mixed media relief sculptures"""," ""Sculpture"""," ""Variable"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""na"""," ""Human Resources Administration"""," ""Department of General Services"""," ""Oberia D. Dempsey Multi-Service Center of Harlem"""," ""Municipal Building"""," ""127 West 127th Street"""," ""40.8094339817762"""," ""-73.9453878253698"""," ""New York"""," ""NY"""," ""10027-3723"""," ""Harlem"""," ""Manhattan"""," ""10"""," ""2"," 3 (125th Street)"""," ""Cultural Harmony consists of four relief sculptures-abstract amalgams of straight lines", bows, and voids-mounted on the walls of the Center's auditorium. According to Searles, these richly colored sculptures are inspired by the artwork of many cultures, including African, Native American, Asian," and Caribbean. \""Knowing that the artwork would touch many people", I wanted to represent many cultural backgrounds as well as project a positive feeling of living energy that would hopefully leave the audience with a good feeling,"\"" Searles said."""," ""Born in Philadelphia", and living in New York since 1978, Charles Searles received his undergraduate education at the University of Pennsylvania and his art education at the Pennsylvania Academy of Fine Arts, graduating with honors. He has traveled and exhibited in Europe, Africa, and the Caribbean. Searles has been on many public art panels, taught art workshops, and is currently teaching at Pratt. His former teaching experiences include Jersey City State College, Bloomfield College, and the University of The Arts in Philadelphia, where he taught for nineteen years. Searles is involved with sculpture, painting," and drawing. He has completed seven public commissions and is currently beginning his eighth commission for Long Island Rail Road in New York."""," ""My works are primarily boldly painted wood sculptures which are free-standing or hang on a wall. I use flat planes as well as curved surfaces and", although the forms are constantly changing, some things are often used such as ovular holes in the sculpture (which, for me, suggest eyes.) The pieces have been said to convey masks, dancers, music, or rhythms. They also have a strong cultural identity that has been called African, Asian, Native American, Caribbean, and more. Therefore, I entitled the four sculptures at the Dempsey Center Cultural Harmony. -- Searles," 1990"""," ""csearles.jpg"""," ""csearles-a.jpg"""," """""," """""," """""," """""," ""217""",,,,,,,,,,,,,,,,,,,
Charles," ""Searles"""," """""," """""," """""," """""," ""Freedom's Gate"""," ""1997"""," ""Bronze"""," ""Sculpture"""," ""12' x 7' x 2'6\"""""," ""Accessible"""," ""Accessible"""," ""Department of Transportation"""," ""Department of Transportation"""," ""Department of Transportation"""," ""Fulton Street Traffic Triangle"""," ""Transportation"""," ""Fulton Street and Ralph Avenue"""," ""40.678859430166"""," ""-73.9216735992573"""," ""Brooklyn"""," ""NY"""," ""11233"""," ""Ocean Hill"""," ""Brooklyn"""," ""3"""," ""A"," C (Ralph Avenue)"""," ""At the center of the Fulton Street Traffic Triangle"," Charles Searles created a large-scale bronze sculpture with curvilinear and arched forms deliberately designed to contrast with the surrounding rectangular buildings. The artist intended the work to serve as a conspicuous landmark for this Brooklyn community."""," ""Born in Philadelphia", and living in New York since 1978, Charles Searles received his undergraduate education at the University of Pennsylvania and his art education at the Pennsylvania Academy of Fine Arts, graduating with honors. He has traveled and exhibited in Europe, Africa, and the Caribbean. Searles has been on many public art panels, taught art workshops, and is currently teaching at Pratt. His former teaching experiences include Jersey City State College, Bloomfield College, and the University of the Arts in Philadelphia, where he taught for nineteen years. Searles is involved with sculpture, painting," and drawing. This is his second commission for the Percent for Art Program."""," ""If I am awarded the responsibility to execute a work of art for a public space or location", I enter each situation open to the possibilities it presents. Each setting calls for its own unique solution. For instance, if a public building serves a function, I consider that function, the people entering the building and the surrounding community. My work does have a particular style which I try to shape and flex to suit each project. While color, materials and form may change, I do try to maintain a feeling of universal language, positive energy, and a glimpse towards the future. -- Searles," 1997"""," ""csearless-2-a.jpg"""," ""csearless-2-b.jpg"""," ""csearless-2-c.jpg"""," ""csearless-2-d.jpg"""," """""," """""," ""218""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maura," ""Sheehan"""," """""," """""," """""," """""," ""Frieze Frame"""," ""1995"""," ""Ceramics"""," ""Mural"""," ""500'"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Gruzen Samton Steinglass"""," ""Board of Education"""," ""School Construction Authority"""," ""Long Island City High School"""," ""School"""," ""14-30 Broadway"""," ""40.765991"""," ""-73.9329725503921"""," ""Astoria"""," ""NY"""," ""11106-4530"""," ""Astoria"""," ""Queens"""," ""1"""," ""N (Broadway)"""," ""Designed to resemble a spool of unwound film", Maura Sheehan's frieze of ceramic tiles runs for 500 feet (152 m) along the top of the lobby walls at Long Island City High School. The work features a series of digitized images of people running and is arranged to give the effect of continuous motion. According to the artist, the installation was inspired by the work of the early photographer Edweard Muybridge," whose experiments in stop-motion photography in the late nineteenth century were instrumental in the invention of motion pictures."""," ""Maura Sheehan was raised in New York and received her B.F.A. from the San Francisco Art Institute. A sculptor", Sheehan is primarily an installation artist whose complex tableaus investigate the layers of meaning behind stable concepts. Her work has appeared at P.S.1, Cristine Rose Gallery, Storefront for Art and Architecture, New York; Stadische Kunsthalle, Dusseldorf; Art in Public Spaces, Hamden," Connecticut; Copenhagen: Round Tower; and The Helsinki Museum. She is currently living and working in New York."""," """""," ""msheehan.jpg"""," """""," """""," """""," """""," """""," ""219""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean," ""Shin"""," """""," """""," """""," """""," ""Settngs"""," ""2010"""," ""Ceramic"""," ""Mural"""," ""10' x 60' x 2\"""""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Dattner Architects"""," ""Board of Education"""," ""School Construction Authority"""," ""Public School 276"""," ""School"""," ""55 Battery Place"""," ""40.7048298418521"""," ""-74.0166400372982"""," ""New York"""," ""NY"""," ""10280-1503"""," ""Battery Park City"""," ""Manhattan"""," ""1"""," ""R (Rector Street)"""," ""Location One International Residency Program", New York City 2007-08; Fabric Workshop and Museum, Artist Residency, Philadelphia, PA 2003-06; Dieu Donne Papermill, Studio Workshop Residency, New York City 2004-05; Lower East Side Printshop, Special Editions Fellow, New York City 2004-05; Creative Capital Professional Development Workshop, Mid-Atlantic Arts Foundation 2004; Art Omi International Artists Residency Program, Ghent, NY 2003; BCATRotunda Gallery Residency, Brooklyn, NY 2003; Ssamzie Space, International Artist Studio Program, Seoul, South Korea 2002; Smack Mellon Studios, Residency Program, Brooklyn, New York 2002; Vermont Studio Center, International Residency Program, VT 1992; Charles Pratt Scholar, Full Merit Scholarship & Pratt National Talent Search 1st Place, Brooklyn, NY 1990-04Settings is comprised of ceramic plates donated by the families and staff of PSIS 276, and members of the larger community of Battery Park City.  By collecting and displaying decorative plates from homes and offices located in the neighborhood, this installation brings the domestic realm into the public setting of the school's cafeteria.  While the plates themselves represent individual participants, the wide range of collected designs speaks to the diversity of the neighborhood.  The participatory nature of the artwork makes Settings a portrait of the local families, residents and organizations in Battery Park City that support the life of PSIS 276.  Inspired by the belief that early childhood education grows out of the home and the school," this project celebrates the tradition of families and communities eating together and learning from the stories that each person contributes during meal times."""," ""Jean Shin is nationally recognized for her monumental installations that transform everyday objects into elegant expressions of identity and community.  For each project", she amasses vast collections of a particular object�prescription pill bottles, sports trophies, sweaters�which are often sourced through donations from individuals in a participating community.  These objects then become the materials for her conceptually rich sculptures, videos and site-specific installations.  Distinguished by her meticulous, labor-intensive process, and her engagement with community, Shin's arresting installations reflect individuals' personal lives as well as collective issues that we face as a society.Her work has been widely exhibited in major national and international museums, including in solo exhibitions at the Smithsonian American Art Museum in Washington DC (2009), the Fabric Workshop and Museum in Philadelphia (2006), and Projects at The Museum of Modern Art in New York (2004).Born in Seoul, South Korea," Shin attended the Skowhegan School of Painting and Sculpture in 1999 and received a BFA and MS from Pratt Institute in Brooklyn.  She lives and works in New York City."""," """""," ""jshin.jpg"""," ""jshin-a.jpg"""," ""jshin-b.jpg"""," ""jshin-c.jpg"""," ""jshin-d.jpg"""," ""jshin-e.jpg"""," ""220""",,,,,,,,,,,,,
Susumu," ""Shingu"""," """""," """""," """""," """""," ""Dialogue with the Sun"""," ""1995"""," ""Stainless steel"""," ""Sculpture"""," ""30'"""," ""Accessible"""," ""Accessible"""," ""Ehrenkrantz"," Eckstut and Kuhn"""," ""Office of Court Administration"""," ""Department of General Services"""," ""Queens Criminal Court"""," ""Courthouse"""," ""125-01 Queens Boulevard"""," ""40.717808"""," ""-73.837494"""," ""Queens"""," ""NY"""," ""11415-1520"""," ""Kew Gardens"""," ""Queens"""," ""9"""," ""E", F (Union Turnpike," Kew Gardens)"""," ""Located at the entrance to the Queens Criminal Court"," Susumu Shingu's Dialogue with the Sun was designed to respond to atmospheric changes. The 30 foot (9.1 m) high sculpture contains \""wings\"" composed of a half-disk and four quarter-disks that rotate vertically and horizontally"," adjusting to changes in the direction and velocity of the wind. The highly polished surfaces mirror the sky and surrounding landscape with every motion. Shingu explained: \""The sculpture will be at all times alive with motion. It will keep conveying the delicate and various rhythms of the wind to those who come to see it. It will bring a feeling of friendliness and warmth which will serve to ameliorate the solemn and dignified impression of the courthouse."""," ""Born in Osaka", Japan, Susumu Shingu is an internationally acclaimed artist whose award winning kinetic sculptures can be seen both in Japan and abroad. Shingu's works are installed at Logan International Airport and the New England Aquarium, Boston; Olympic Park, Seoul, and the port of Genoa," Italy."""," """""," ""sshingu.jpg"""," """""," """""," """""," """""," """""," ""221""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobi," ""Shioya"""," """""," """""," """""," """""," ""Las Meninas"""," ""1998"""," ""Bronze"""," ""Mutiple Works Other"""," ""Range from: 2\"" to 36\"""""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""FXFowle"""," ""Board of Education"""," ""School Construction Authority"""," ""Public School 166"""," ""School"""," ""132 West 89th Street"""," ""40.7888319343328"""," ""-73.9717492461204"""," ""New York"""," ""NY"""," ""10024-1902"""," ""Upper West Side"""," ""Manhattan"""," ""7"""," ""C (86th Street)"""," ""Nobi Shioya's nineteen small bronze sculptures of different animals and shapes are situated throughout the hallways of P.S. 166. The title of the piece", Las Meninas , was inspired by the Diego Vel�zquez painting (1656) of the same name. Shioya intended for students to touch and interact with the sculptures, which range in size from 2 inch (5 cm) snail to a 36 inch (91 cm) high dog. Also featured are a bison, a salamander, a gorilla, a fish, an elephant, and a bird," as well as various geometric shapes."""," ""A native New Yorker", Nobi Shioya studied at the Tokyo National University of Fine Arts and Music. Since receiving his degree in 1984, Shioya has devoted much of his career to the creation of public art in both Japan and the United States. He has exhibited in galleries and museums around New York City as well as in New Jersey," California and New Mexico. """," ""Public art in general has formal meaning for its existence. It represents the site or the community where it belongs and vitalizes the environment in an appropriate manner. Most importantly", the work should anticipate a long relationship with the community surrounding it and let the audience be attached to it. Since the audience of the artwork [at PS 166] will be children, their parents, and the staff of PS 166, the artwork should be easy to relate to for adults as well as children. -- Shioya," 1998 """," ""nshioya.jpg"""," ""nshioya-b.jpg"""," ""nshioya-d.jpg"""," ""nshioya-e.jpg"""," """""," """""," ""222""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro," ""Silva"""," """""," """""," """""," """""," ""Caribbean Sea"""," ""1995"""," ""Ceramic"""," ""Mural"""," ""na"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""Montoya-Rodriguez"," P.C."""," ""Board of Education"""," ""School Construction Authority"""," ""Intermediate School 246"""," ""School"""," ""72 Veronica Place"""," ""40.6486000120639"""," ""-73.9527960866689"""," ""Brooklyn"""," ""NY"""," ""11226-4122"""," ""Prospect Park South"""," ""Brooklyn"""," ""17"""," ""5 (Church Avenue)"""," ""Located at I.S. 246", Pedro Silva's mosaic mural features images from and references to life in the Caribbean. In the center of the mural is a bright carnival mask of the sun god, surrounded by marine life, including fish, plants, sand," and coral. A wide border portrays several islands with tropical landscapes. Students collaborated with Silva on the project by cutting and piecing together the tiles that form the mosaic."""," ""Pedro Silva was born in Chile. He has completed several public art projects in ceramic tile mosaic including the benches around Grant's Tomb", a serpent play sculpture in Nashville," and a mermaid fountain in Scotland. His studio work combines classical and contemporary artistic media."""," ""My fundamental philosophy about public art is that it should reflect the spirit of the community. The community involved with this mural was a school in Brooklyn and many of the children", parents, teachers, and staff came from an island in the Caribbean Sea. The cultural background of the participants gave us the theme for this mural. The central image was a carnival mask surrounded by a sun. Sea creatures and island motifs swirled around the center. I began by talking to them about their thoughts and ideas and asking what they would like to see in the mural. Then I worked with those ideas and developed a theme. All members of the community were invited to participate in creating the piece, giving them a sense of ownership in the work of art with which they will live. -- Silva," 1995"""," ""psilva.jpg"""," """""," """""," """""," """""," """""," ""223""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francesco," ""Simeti"""," """""," """""," """""," """""," ""Animality"""," ""2010"""," ""Porcelain enamel panels on 16-gauge steel"""," ""Mural"""," ""10 x 22 feet"""," ""Limited Access"""," ""Visitors will be required to show identification.  Artwork is only accesible for view during the facility's regular operating hours."""," ""MitchellGiurgola Architects"""," ""Board of Education """," ""School Construction Authority"""," ""Public SchoolIS 44R Annex"""," ""School"""," ""80 Maple Parkway"""," ""40.6316757202148"""," ""-74.1573257446289"""," ""Staten Island"""," ""NY"""," ""10303-2419"""," ""Mariner's Park"""," ""Staten Island"""," ""1"""," ""S53 to Port Richmond Avenue and Bennett Street; S40 to Richmond Terrace and North St."""," ""Animality is an installation of panels that loosely illustrate various groups or families of animals- insects", birds, mammals, and fish.  Inspiration for this project came from the United Nations study which found that up to 30% of all animal species are becoming endangered.  Simeti created an opportunity for viewers to explore their connection with the magic of the animal world," and possibly foster its appreciation. """," """""," """""," ""fsimeti.jpg"""," """""," """""," """""," """""," """""," ""224""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
